Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
awoke,False,salet,quick,quick,quick,vying,vying
trawl,False,salet,vying,vying,vying,vying,vying
swift,False,salet,vying,fjord,fjord,vying,jumpy
speck,False,salet,jumpy,jumpy,jumpy,vying,vying
whirl,False,salet,vying,fjord,fjord,vying,vying
heave,False,salet,fjord,fjord,fjord,fjord,fjord
adapt,False,salet,fjord,vying,vying,vying,vying
borax,False,salet,vying,vying,vying,vying,vying
thyme,False,salet,vying,vying,bunch,bunch,fjord
curly,False,salet,fjord,fjord,bunch,vying,vying
hefty,False,salet,vying,vying,bunch,fjord,quick
extra,False,salet,quick,quick,quick,quick,quick
swear,False,salet,quick,quick,quick,quick,quick
fleck,False,salet,quick,fjord,fjord,fjord,bunch
filth,False,salet,buxom,buxom,buxom,buxom,buxom
wrack,False,salet,buxom,buxom,buxom,buxom,buxom
boxer,False,salet,buxom,vying,vying,vying,vying
askew,False,salet,vying,vying,vying,vying,vying
fable,False,salet,vying,vying,vying,vying,vying
about,False,salet,vying,vying,vying,vying,vying
chock,False,salet,vying,vying,vying,vying,vying
cabal,False,salet,vying,vying,vying,vying,vying
jumpy,False,salet,vying,vying,vying,winch,winch
gazer,False,salet,winch,winch,winch,winch,winch
tacky,False,salet,winch,winch,winch,fjord,fjord
gummy,False,salet,fjord,fjord,fjord,fjord,fjord
meaty,False,salet,fjord,fjord,fjord,fjord,fjord
spiky,False,salet,fjord,fjord,fjord,fjord,fjord
brink,False,salet,fjord,fjord,fjord,vying,vying
rower,False,salet,buxom,buxom,jumpy,jumpy,jumpy
chief,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
faint,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
elbow,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
sedan,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
outer,False,salet,jumpy,jumpy,vying,vying,vying
dogma,False,salet,vying,vying,vying,winch,winch
munch,False,salet,winch,jumpy,jumpy,fjord,fjord
fruit,False,salet,fjord,fjord,vying,vying,vying
frown,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
swift,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
build,False,salet,jumpy,jumpy,vying,vying,nymph
plump,False,salet,nymph,nymph,vying,vying,vying
shear,False,salet,vying,vying,vying,vying,vying
salon,False,salet,vying,vying,fjord,fjord,fjord
login,False,salet,fjord,fjord,vying,vying,fjord
sinew,False,salet,fjord,fjord,fjord,fjord,fjord
wiser,False,salet,fjord,fjord,quick,jumpy,jumpy
helix,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
satyr,False,salet,jumpy,jumpy,quick,quick,quick
score,False,salet,quick,quick,quick,fjord,fjord
mover,False,salet,jumpy,jumpy,jumpy,fjord,quick
wordy,False,salet,quick,quick,quick,quick,quick
stung,False,salet,quick,quick,vying,fjord,fjord
thumb,False,salet,fjord,fjord,fjord,fjord,fjord
vicar,False,salet,fjord,fjord,howdy,howdy,howdy
posit,False,salet,howdy,winch,winch,howdy,howdy
shout,False,salet,winch,winch,vying,vying,vying
fizzy,False,salet,vying,jumpy,quick,fjord,fjord
jazzy,False,salet,fjord,fjord,quick,quick,quick
bravo,False,salet,quick,quick,quick,quick,quick
movie,False,salet,quick,quick,quick,bunch,bunch
peach,False,salet,bunch,bunch,fjord,fjord,fjord
gecko,False,salet,fjord,fjord,jumpy,jumpy,jumpy
roach,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
swoon,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
bicep,False,salet,jumpy,jumpy,jumpy,jumpy,fjord
squib,False,salet,fjord,fjord,fjord,fjord,fjord
glove,False,salet,fjord,fjord,fjord,vying,quick
poser,False,salet,quick,quick,quick,quick,quick
minus,False,salet,quick,bunch,bunch,fjord,fjord
whine,False,salet,fjord,fjord,fjord,fjord,fjord
chalk,False,salet,fjord,fjord,fjord,fjord,fjord
space,False,salet,fjord,fjord,fjord,fjord,fjord
quake,False,salet,fjord,fjord,fjord,fjord,fjord
storm,False,salet,fjord,fjord,fjord,jumpy,vying
mower,False,salet,vying,vying,vying,vying,vying
owner,False,salet,vying,vying,jumpy,jumpy,jumpy
downy,False,salet,jumpy,quick,quick,quick,quick
snuck,False,salet,quick,quick,jumpy,jumpy,vying
mossy,False,salet,vying,vying,fjord,fjord,fjord
jiffy,False,salet,fjord,vying,vying,fjord,fjord
chest,False,salet,winch,vying,vying,vying,vying
drive,False,salet,vying,fjord,fjord,buxom,buxom
forge,False,salet,buxom,buxom,buxom,nymph,nymph
ample,False,salet,nymph,nymph,vying,vying,vying
regal,False,salet,vying,bunch,bunch,bunch,bunch
other,False,salet,bunch,bunch,bunch,quick,quick
whine,False,salet,quick,quick,quick,quick,bunch
mogul,False,salet,bunch,bunch,fjord,fjord,fjord
chick,False,salet,vying,vying,fjord,fjord,fjord
stank,False,salet,fjord,fjord,fjord,fjord,fjord
curse,False,salet,fjord,bunch,fjord,jumpy,jumpy
jerky,False,salet,nymph,nymph,fjord,fjord,bunch
weave,False,salet,bunch,bunch,bunch,bunch,bunch
latch,False,salet,bunch,bunch,buxom,buxom,buxom
email,False,salet,buxom,buxom,vying,vying,fjord
mount,False,salet,fjord,fjord,vying,vying,vying
brace,False,salet,vying,vying,vying,vying,vying
brine,False,salet,vying,fjord,fjord,fjord,pudgy
sulky,False,salet,pudgy,buxom,buxom,fjord,fjord
crowd,False,salet,fjord,fjord,vying,vying,vying
elder,False,salet,vying,vying,vying,vying,vying
teary,False,salet,vying,vying,vying,vying,vying
frown,False,salet,bunch,buxom,buxom,quick,quick
graze,False,salet,quick,quick,quick,quick,quick
among,False,salet,quick,quick,quick,quick,quick
credo,False,salet,quick,quick,quick,buxom,buxom
other,False,salet,vying,vying,vying,vying,vying
knoll,False,salet,vying,vying,buxom,jumpy,jumpy
snowy,False,salet,jumpy,jumpy,buxom,buxom,quick
mogul,False,salet,quick,quick,quick,quick,quick
watch,False,salet,vying,vying,vying,vying,vying
amuse,False,salet,vying,vying,vying,vying,vying
flume,False,salet,vying,vying,vying,vying,vying
homer,False,salet,vying,vying,vying,vying,vying
pride,False,salet,vying,vying,fjord,fjord,buxom
flaky,False,salet,buxom,buxom,buxom,buxom,buxom
dusty,False,salet,buxom,buxom,nymph,nymph,nymph
froze,False,salet,fjord,nymph,nymph,nymph,nymph
valid,False,salet,nymph,nymph,nymph,nymph,nymph
bawdy,False,salet,nymph,nymph,nymph,winch,winch
guild,False,salet,winch,buxom,buxom,winch,winch
fiber,False,salet,nymph,nymph,nymph,nymph,nymph
royal,False,salet,nymph,nymph,fjord,winch,winch
bagel,False,salet,winch,winch,winch,winch,winch
weird,False,salet,winch,winch,bunch,bunch,bunch
harpy,False,salet,bunch,buxom,buxom,buxom,buxom
feign,False,salet,buxom,buxom,buxom,buxom,buxom
clink,False,salet,buxom,buxom,buxom,buxom,buxom
adept,False,salet,buxom,buxom,buxom,buxom,buxom
crust,False,salet,buxom,buxom,fjord,fjord,fjord
ghoul,False,salet,fjord,nymph,nymph,fjord,fjord
fetid,False,salet,nymph,nymph,nymph,nymph,nymph
weigh,False,salet,nymph,fjord,fjord,fjord,fjord
apply,False,salet,fjord,fjord,fjord,fjord,fjord
shrew,False,salet,fjord,buxom,buxom,buxom,buxom
junta,False,salet,buxom,buxom,buxom,nymph,fjord
moose,False,salet,fjord,nymph,nymph,vying,vying
wafer,False,salet,vying,vying,vying,vying,vying
dying,False,salet,vying,fjord,fjord,fjord,fjord
power,False,salet,fjord,fjord,nymph,quick,quick
feast,False,salet,quick,quick,quick,quick,quick
blend,False,salet,quick,quick,quick,quick,quick
rugby,False,salet,quick,quick,nymph,nymph,winch
mercy,False,salet,winch,winch,winch,nymph,nymph
raise,False,salet,vying,vying,nymph,nymph,nymph
frank,False,salet,nymph,nymph,fjord,fjord,nymph
sweat,False,salet,buxom,buxom,buxom,buxom,buxom
power,False,salet,buxom,buxom,nymph,nymph,nymph
windy,False,salet,nymph,quick,buxom,buxom,buxom
drank,False,salet,buxom,buxom,buxom,buxom,buxom
vaunt,False,salet,buxom,buxom,buxom,fjord,fjord
cairn,False,salet,fjord,fjord,fjord,nymph,nymph
spice,False,salet,buxom,buxom,buxom,buxom,buxom
penal,False,salet,buxom,buxom,buxom,buxom,buxom
manic,False,salet,buxom,buxom,buxom,quick,fjord
rabbi,False,salet,fjord,fjord,fjord,quick,quick
horny,False,salet,quick,quick,quick,quick,quick
drunk,False,salet,quick,vying,vying,vying,fjord
logic,False,salet,buxom,buxom,vying,nymph,nymph
ghoul,False,salet,nymph,nymph,quick,quick,vying
pasty,False,salet,fjord,fjord,fjord,fjord,fjord
rocky,False,salet,fjord,vying,vying,quick,quick
proof,False,salet,vying,vying,vying,vying,vying
